oak%(n.)   橡樹,橡木
oar%(n.)   槳,櫓,划手
oasis%(n.)   綠洲
oath%(n.)   宣誓,誓言,誓約,詛咒
obey%(v.)   遵守,服從,聽從
obedient%(a.)   順從的
obituary%(n.)   死亡公告
object%(n.)   物體,物件,對象,目標,受詞
object%(v.)   反對,抗議(與to連用)
objection%(n.)   反對,異議
objective%(a.)   客觀的
objective%(n.)   目標
oblige%(v.)   強迫,使不得不
oblong%(a.)   長方形的
obligation%(n.)   義務,職責
obscure%(a.)   不清楚的,無名的,暗的
obscure%(v.)   遮蔽
observe%(v.)   觀察,遵守,評論
observation%(n.)   觀察
observer%(n.)   觀察者
observatory%(n.)   觀測所
obsession%(n.)	 著迷, 被纏住
obstacle%(n.)   障礙(物),阻礙
obtain%(v.)   獲得,得到
obvious%(a.)   明顯的,顯然的
obviously%(adv.) 明顯地
occasion%(n.)   場合,時機
occasional%(a.)   偶爾的
occasionally%(adv.) 偶爾地
occupation%(n.)   職業,佔據
occupational%(a.)   職業的
occupy%(v.)   佔據,佔用,使忙於
occurrence%(n.)   發生,事件
ocean%(n.)   海洋,大海
o'clock%(adv.) ...點鐘
Oct.%(縮寫) October十月
October%(n.)   十月
odd%(a.)   奇特的;零碎的
odds%(n.)   勝算
odor%(n.)   氣味,風味
offend%(v.)   冒犯,觸怒;違反(～against)
of%(��)   ...的
of%(adv.) 當然
offensive%(a.)   冒犯的,令人不快的
off%(adv.) 離開
off%(介)   離開
offer%(V.)   提供,提出,供給
offer%(n.)	 提供, 提議
off%(a.)   分離的
offering%(n.)   供奉
office%(n.)   辦公處(室),政府機關
offence%(n.)   =offense
officer%(n.)   軍官,官吏,警官,警察
offense%(n.)   違反
official%(a.)   職務上的,正式的
official%(n.)   公務員,官吏
officially%(adv.) 公務上
offspring%(n.)   子孫,後裔
offset%(n.)   補償
oil%(n.)   油,石油
oily%(a.)   油(膩)的,油性的
offshore%(a.)   近海的
ointment%(n.)   軟膏,膏藥
often%(adv.) 常常
on%(嘆)   哦
old%(a.)   老的,舊的,...歲的
oldest%(最高級)old最高級
